Epochs,Train 1pit_multi_loss,Train 1L2_reg,Train Total Loss,Val 1pit_multi_loss,Val 1L2_reg,Val Total Loss,Train si_sdr,Train accuracy_metric,Train probnorm_acc_metric,Val si_sdr,Val accuracy_metric,Val probnorm_acc_metric
16,0.012793464886645477,0.0015657382955153783,0.014359203189611435,0.013318112248832241,0.0015589254908263683,0.014877037818920105,1.873050109565258,52.87083333333333,0.6514731349547704,1.8548165230040854,51.944813829787236,0.64435297002395
17,0.012753191625078519,0.0015528137274086475,0.014306005333860715,0.013357221921707721,0.0015467110788449645,0.014903932710752842,1.9327023017803828,52.6875,0.6508062774737676,1.5969076381718859,51.2854609929078,0.6382103616252859
18,0.012678218978146713,0.0015414155209437013,0.014219634493192038,0.013442301676866221,0.0015359533717855811,0.014978254848021143,1.9655605612397193,53.05416666666667,0.6526282846530278,1.6623619330373216,51.84507978723404,0.6422734216701055
19,0.012630792165795962,0.0015311762938896814,0.014161968457202117,0.01331413642285352,0.001526464824564755,0.014840601319249006,2.0283566001653672,52.975,0.6524741106033325,1.6846929837731606,52.33266843971631,0.6467885722188239
20,0.012556226834654807,0.001522042805949847,0.014078269623219966,0.013450929013259233,0.001517535070888698,0.014968464002409514,2.0732803141673406,53.06666666666667,0.6531466311613718,1.5750017026637464,52.493351063829785,0.6476198161113347
21,0.012519822222491105,0.0015138152933989962,0.01403363751868407,0.013357155609558871,0.0015102147590368986,0.014867370423088049,2.0905238846540453,53.12916666666667,0.6533511573076248,1.7487369634686631,51.67885638297872,0.6421262787271899
22,0.012482262551784515,0.0015070931169514855,0.013989355663458507,0.013128498182731105,0.0015039636055007577,0.014632461998770212,2.129164486606916,52.90416666666667,0.6514809401432673,1.8981404044526689,52.637411347517734,0.6483028733983953
23,0.01241944711903731,0.0015011335493375858,0.013920580657819906,0.013302776268980604,0.0014982896391302347,0.014801065734726317,2.176628423988819,53.125,0.6533230543136597,1.8385708072084062,52.34375,0.6482701845308567
24,0.012360157072544098,0.0014957062859709063,0.013855863352616628,0.013301597987400724,0.0014933692291378975,0.014794967246261682,2.2566304278075693,53.166666666666664,0.6546349233786265,1.6858101880296747,51.6511524822695,0.6411818781643049
25,0.012314979751904806,0.001491390800413986,0.013806370524068674,0.013329177926433212,0.0014896553475409746,0.014818833179851162,2.3119120483398437,53.166666666666664,0.6534955748716991,1.7464955692040793,52.16644503546099,0.6455231477499854
26,0.012241709771255651,0.0014878009383877118,0.01372951070467631,0.013249630227367928,0.0014858413487672806,0.01473547153650446,2.362570745070775,53.4625,0.6568472547133763,1.6960734097247427,52.138741134751776,0.6462381326771797
27,0.012173018304010233,0.0014839182399834195,0.013656936541199684,0.01333463512004373,0.0014822989469394088,0.014816933816814043,2.377771567940712,53.68333333333333,0.6583367133935293,1.6996213592430378,52.11657801418439,0.6433470552483349
28,0.012132956720888615,0.0014808402433991433,0.013613796949386596,0.01336332983238266,0.0014794651651754975,0.014842795237819565,2.442835008621216,53.5125,0.6565876890420914,1.7647331989508994,52.35483156028369,0.6478038225719269
29,0.01209507650633653,0.0014783197219173114,0.013573396238187948,0.013168744336655165,0.001477147452533245,0.014645891769373037,2.491969981511434,53.6375,0.6580818351507187,1.9332242994866473,52.68173758865248,0.6485657678216907
30,0.012059509036441644,0.001476208142625789,0.013535717159509658,0.013394212964525882,0.0014750424306839705,0.014869255499240565,2.5031208264033,53.670833333333334,0.657628475467364,1.8141318638908102,52.050088652482266,0.6450990926712117
31,0.012008580652376016,0.0014740905494739613,0.013482671196262041,0.013131037770592153,0.0014733150601387024,0.014604352830730855,2.527837566057841,53.84583333333333,0.6590529473225276,1.8509448727077626,53.15824468085106,0.6528618819747412
32,0.011945973197619121,0.0014722078908234835,0.013418181079129378,0.013259720919217835,0.0014713684795424342,0.014731089435914096,2.5857228275934854,53.69166666666667,0.6581759006182353,1.7709210722687396,51.662234042553195,0.6408598105958168
33,0.01192293694615364,0.001470761821915706,0.013393698766827583,0.013289682230258242,0.0014697631122544408,0.014759445305358856,2.604922390937805,53.829166666666666,0.6591575541098913,1.896630085687688,51.856161347517734,0.6440075491654113
34,0.01181842279434204,0.0014685846948996185,0.013287007465958595,0.013258997806684767,0.0014673802070319653,0.014726378083070542,2.6620776540438333,53.99583333333333,0.6598476363420487,1.8808904008028355,51.961436170212764,0.644068273458075
35,0.011818195891877015,0.0014668779460092385,0.013285073849062124,0.013486639309198932,0.001466400339268148,0.014953039437928733,2.667109929641088,53.8375,0.6588068499167761,1.747733236468853,52.34375,0.6470436822121025
36,0.011781798782447974,0.001465772288540999,0.013247571053604286,0.013284053722832432,0.0014650073135271668,0.014749061306344067,2.706200064500173,53.74583333333333,0.6579173105955124,1.8519846955512433,52.609707446808514,0.6485489015566542
37,0.011717007661859194,0.001464433830541869,0.013181441478431226,0.013187229058685456,0.0014642048627138138,0.014651433901583895,2.7367178444067637,53.920833333333334,0.6591790183782578,1.838030018863526,52.45456560283688,0.6473582190930421
38,0.011720455363392829,0.0014635230777785182,0.013183978440860908,0.013562087276752325,0.0014634998515248299,0.015025587108461781,2.7431401874224344,53.94583333333333,0.6597274191776912,1.662469098384076,51.73980496453901,0.6428620221344292
39,0.01165498835593462,0.001462853808887303,0.013117842180033526,0.013488154897981502,0.0014622645685449243,0.014950419637434025,2.7843615080515542,54.075,0.6609512674808502,1.7822139879014898,51.67885638297872,0.6429198978746191
40,0.011602409700552622,0.0014618727254370849,0.013064282414813836,0.013682268252794413,0.0014615333639085293,0.015143801636518316,2.8257984581391016,54.15416666666667,0.6616208610932032,1.518086024342065,52.18306737588652,0.6442644640486291
41,0.011618026512364547,0.0014612896339967847,0.013079316144188245,0.013299250360974606,0.001461271196603775,0.014760521478316885,2.820875047365824,54.175,0.6609204283555349,1.8485350621507524,51.994680851063826,0.6446171618522482
42,0.011553535086413224,0.0014607161733632286,0.013014251256982485,0.013517100760277281,0.0014603136805817485,0.014977414458197481,2.8638035554885866,54.12916666666667,0.6610453329483668,1.6578683149307332,52.33820921985816,0.6475834887712559
43,0.011521559921403727,0.0014599790157129367,0.012981538926561674,0.013495444161619278,0.0014595994725823402,0.014955043604478557,2.8764323267936707,54.22083333333333,0.6616907261610031,1.6736574525687289,52.726063829787236,0.6500912381613508
44,0.01148132887482643,0.0014591136081144214,0.012940442482630411,0.013356615581173212,0.0014587277546525002,0.014815343286287277,2.8971920734842618,54.425,0.6625252259572347,1.7897951669515448,52.548758865248224,0.6494364700418838
45,0.01143322453647852,0.0014580268024777373,0.012891251352926096,0.013377185286755891,0.0014577455585822463,0.014834930614984415,2.9460292126337686,54.3875,0.6631132467190425,1.7177580417470728,52.37699468085106,0.6474122026182235
46,0.011361803544064363,0.001457194106342892,0.012818997676173846,0.013685004934272233,0.0014566598692908883,0.015141664954655349,2.9867970317204793,54.458333333333336,0.6636723796526591,1.582694324644956,52.23293439716312,0.6464405565502795
47,0.011331486756602923,0.0014557560912022989,0.012787242854634921,0.01349520657528588,0.0014554891968145967,0.014950696022269573,3.025082729657491,54.4375,0.6630978271563848,1.5873894127125436,52.28834219858156,0.6463813834050869
48,0.011349324469765028,0.0014552260239919027,0.01280455049375693,0.013658889282019214,0.0014553003711625934,0.015114189601166452,3.0059959812164307,54.4125,0.6632004826466242,1.6122254039695922,52.216312056737586,0.6460037811639461
49,0.011398835075398286,0.0014558741431683303,0.012854709183176358,0.013483095111602799,0.0014560350682586432,0.014939130323522903,2.9805617690086366,54.09166666666667,0.6610365521113077,1.6665846500149433,52.14428191489362,0.6458426205084679
50,0.011243371171255906,0.0014551456173261007,0.012698516773680845,0.013436397388973769,0.0014546364545822144,0.014891033823740608,3.078886452674866,54.53333333333333,0.6640968515078227,1.6450789344120533,52.96985815602837,0.6519520038619955
51,0.011187423090140024,0.0014537920160219073,0.01264121509095033,0.013544598237631168,0.0014535256195813417,0.014998123772997172,3.111773974100749,54.65833333333333,0.665618124961853,1.4766388446726697,51.91710992907801,0.6430839070825712
52,0.011305621042847634,0.0014541243916998308,0.012759745433926582,0.013459723343716022,0.0014545591548085213,0.014914282538155292,3.038203052520752,54.5875,0.6650318646828334,1.6212567853483748,53.68461879432625,0.6577468503345835
53,0.011205885522067548,0.0014543274578948816,0.012660212978720666,0.013438914040539493,0.0014542574062943459,0.014893171486464586,3.113966192881266,54.454166666666666,0.6635628946224849,1.5607503597089585,52.465647163120565,0.6472525931102164
54,0.011145355554918449,0.0014538252241909505,0.012599180770417055,0.013609190580454912,0.0014534553047269583,0.015062646009027958,3.1401913703282673,54.733333333333334,0.6658798327445984,1.5991612542816933,52.02238475177305,0.6436857353393913
55,0.011120099934438864,0.001453071146272123,0.012573171103994052,0.013828784346263459,0.001453063334338367,0.015281847549324974,3.1692488028208414,54.65833333333333,0.6644787764549256,1.577890063378405,51.80075354609929,0.6426598520037976
56,0.011072022348642348,0.0014525160420065125,0.012524538380404314,0.013663846910237632,0.0014521207194775343,0.015115967674299758,3.193805419921875,54.795833333333334,0.6660301042000453,1.5520212929299537,52.27171985815603,0.6472432575327285
57,0.011080289403597513,0.0014519948437809944,0.0125322842374444,0.013708178370081365,0.0014522300334647298,0.01516040838620764,3.1775724770228067,54.65,0.6652635181744894,1.4758403354344216,51.82291666666667,0.6422682320500942
58,0.011002775607009728,0.0014517926344027121,0.012454568229615689,0.013769004107552005,0.0014512486523017287,0.015220252529500013,3.2198847433725994,54.84166666666667,0.6669089113871256,1.4727107823846188,52.67619680851064,0.6485644704166879
59,0.010993194458385308,0.0014511121104781827,0.012444306554893652,0.013477381348530663,0.0014508120948448777,0.014928193663821575,3.2441084553400676,54.75833333333333,0.6653973944187165,1.5366276090449476,52.70390070921986,0.648318442258429
60,0.010940380076567332,0.0014502567319820325,0.012390636794269085,0.014077329324518746,0.0014500677352771163,0.015527396869072889,3.2777627681096395,54.87916666666667,0.6666735461155574,1.4185180909773136,51.013962765957444,0.637786052804044
61,0.010965246545771757,0.00145008624282976,0.012415332809090615,0.013486481915683822,0.0014500992838293314,0.014936581045944006,3.251835646947225,54.775,0.6659167165756226,1.662115768390767,52.044547872340424,0.644845280082936
62,0.010911796137690544,0.00144948359982421,0.012361279716094334,0.014003736858672284,0.001449352246709168,0.015453089088043,3.2978161514600117,55.18333333333333,0.6690234654744466,1.3522118744539453,51.76196808510638,0.64283113815683
63,0.010897744305431842,0.00144916403790315,0.01234690837810437,0.013760815691599187,0.0014490169705823064,0.015209832704289163,3.2938217345873513,54.891666666666666,0.6660525441169739,1.5071009362631655,51.861702127659576,0.6427462706540493
64,0.010850729696452618,0.0014486013893038035,0.01229933109631141,0.013921689053878505,0.0014483868144452572,0.015370075828693014,3.3300224186579386,55.0125,0.6678983700672786,1.3388969776161173,52.01130319148936,0.6439356557126586
65,0.010806329560776552,0.0014480097517371178,0.012254339305063089,0.013632737169478168,0.0014478783123195171,0.01508061556105918,3.3666843105951947,55.041666666666664,0.6676881808439891,1.4130880418927112,52.327127659574465,0.6470758635947045
66,0.010795219657321772,0.0014475889131426811,0.012242808565497398,0.01361072999722463,0.0014475465286523104,0.015058276471384663,3.379278065045675,55.19166666666667,0.6689711620807648,1.5182993022051263,51.961436170212764,0.6432746543106458
67,0.01079059566060702,0.0014475170116250713,0.012238112648328145,0.013688546763931183,0.0014475536299869418,0.015136100361718143,3.3839835693041485,55.03333333333333,0.6683101584911346,1.4512796635798952,52.244015957446805,0.6458659737985185
68,0.010760157351692518,0.0014471987119565408,0.012207356082896392,0.013697414064502462,0.0014472795883193612,0.015144693784098676,3.3785339323679606,55.079166666666666,0.6679139804442723,1.4718514503316675,52.00022163120567,0.6450513424285761
69,0.010744939930737019,0.0014472131300717593,0.012192153044044972,0.013589587003151153,0.0014472128823399544,0.01503679990530648,3.401702209790548,54.99166666666667,0.6674865816434224,1.515406165192736,52.24955673758865,0.6463362279724567
70,0.010668650788565477,0.0014468758373210827,0.012115526626507441,0.013551308634750386,0.0014464454725384712,0.014997754117196544,3.4569387424786884,55.079166666666666,0.6682123812437057,1.5261174589395523,52.22739361702128,0.6457538607906788
71,0.01065931229541699,0.001446045950986445,0.012105358250439168,0.014415989570478176,0.0014458235818892717,0.015861813246490473,3.455441378116608,55.12916666666667,0.6680070702632268,1.2256876626547346,51.994680851063826,0.6437513955095981
72,0.0106234246691068,0.0014453491099799673,0.012068773773809273,0.014025558925610273,0.001444997382350266,0.01547055637979127,3.481946967760722,55.233333333333334,0.6689809185663859,1.3420250884237441,51.745345744680854,0.6429354667346528
